,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id
595,46,56,96,f,Private room,1,1,1,328,Kallang,Central Region,30543386
596,380,310,57,f,Entire home/apt,2,3,0,363,Novena,Central Region,43452908
597,504,364,100,f,Entire home/apt,2,3,0,152,Orchard,Central Region,45962405
598,45,57,100,f,Private room,1,1,1,364,Jurong West,West Region,38250487
599,200,268,80,f,Entire home/apt,2,2,2,0,Bukit Merah,Central Region,48687013
600,137,148,89,t,Entire home/apt,0,1,2,0,Downtown Core,Central Region,43007892
601,69,97,97,f,Private room,1,1,1,328,Outram,Central Region,22019165
602,425,439,30,f,Entire home/apt,2,4,0,358,Tanglin,Central Region,38915787
603,453,308,30,f,Entire home/apt,3,3,0,364,Clementi,West Region,51917090
604,200,154,31,f,Entire home/apt,0,0,1,364,Outram,Central Region,53244978
605,68,102,84,f,Entire home/apt,1,1,18,90,Geylang,Central Region,22000933
606,462,462,100,t,Entire home/apt,2,3,6,19,Singapore River,Central Region,20156054
607,69,67,72,t,Private room,1,2,0,150,Kallang,Central Region,39489668
608,198,252,7,f,Entire home/apt,3,4,0,181,Geylang,Central Region,41326359
609,126,97,100,f,Private room,1,0,1,364,Outram,Central Region,51075717
610,738,181,100,f,Entire home/apt,1,1,0,226,Kallang,Central Region,39119415
611,130,131,9,f,Private room,0,1,0,72,Rochor,Central Region,51715077
612,160,187,84,t,Entire home/apt,1,1,1,346,Novena,Central Region,53174972
613,151,117,65,f,Hotel room,1,3,5,0,Outram,Central Region,19847774
614,82,80,100,f,Private room,1,3,0,0,Geylang,Central Region,50216740
615,90,96,88,t,Private room,1,1,1,268,Bedok,East Region,25183317
616,169,190,84,t,Entire home/apt,1,1,0,206,Novena,Central Region,53260515
617,59,59,97,f,Private room,1,1,2,0,Kallang,Central Region,30966211
618,170,210,41,f,Entire home/apt,2,2,0,364,Kallang,Central Region,43193534
619,169,145,84,t,Private room,0,1,0,352,Singapore River,Central Region,51931450
620,94,124,96,f,Hotel room,1,1,6,123,Singapore River,Central Region,35883439
