id,new_host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,bedrooms,beds,number_of_reviews,availability_365,price
22812459.0,67.0,t,Geylang,Central Region,1.31975,103.88237,Private room,2.0,6.0,0.0,292.0,228.0
22819808.0,100.0,f,Woodlands,North Region,1.44429,103.79311,Private room,1.0,1.0,1.0,0.0,80.0
22826338.0,0.0,f,Queenstown,Central Region,1.30462,103.78401,Entire home/apt,3.0,3.0,0.0,226.0,200.0
22836157.0,0.0,f,Kallang,Central Region,1.31589,103.84751,Private room,1.0,1.0,1.0,339.0,35.0
22874441.0,65.0,f,Singapore River,Central Region,1.29022,103.83721,Entire home/apt,2.0,2.0,3.0,178.0,173.0
22912035.0,100.0,t,Orchard,Central Region,1.30243,103.84007,Entire home/apt,1.0,1.0,2.0,343.0,538.0
22912163.0,100.0,t,Newton,Central Region,1.30236,103.84184,Entire home/apt,3.0,3.0,1.0,359.0,1356.0
22918883.0,41.0,f,Queenstown,Central Region,1.30153,103.80097,Entire home/apt,2.0,2.0,0.0,364.0,420.0
22929591.0,0.0,f,Museum,Central Region,1.29358,103.84369,Private room,1.0,1.0,3.0,53.0,60.0
22947456.0,84.0,f,Geylang,Central Region,1.31335,103.88809,Entire home/apt,1.0,1.0,9.0,81.0,73.0
22979766.0,65.0,t,Choa Chu Kang,West Region,1.38626,103.74444,Private room,1.0,1.0,32.0,0.0,38.0
22986772.0,0.0,f,Southern Islands,Central Region,1.25054,103.82577,Entire home/apt,2.0,3.0,0.0,329.0,540.0
22987047.0,0.0,f,Southern Islands,Central Region,1.25048,103.82383,Entire home/apt,3.0,4.0,0.0,301.0,700.0
22987507.0,65.0,f,Bukit Merah,Central Region,1.29023,103.81971,Private room,1.0,1.0,46.0,0.0,65.0
22990388.0,100.0,t,Orchard,Central Region,1.30253,103.84111,Entire home/apt,2.0,2.0,0.0,359.0,979.0
22990457.0,100.0,t,Orchard,Central Region,1.3006,103.84177,Entire home/apt,2.0,2.0,6.0,365.0,883.0
23045739.0,99.0,t,Rochor,Central Region,1.29806,103.85257,Entire home/apt,1.0,1.0,5.0,77.0,155.0
23048720.0,91.0,t,Outram,Central Region,1.28449,103.84294,Private room,1.0,1.0,1.0,359.0,69.0
23052237.0,0.0,f,Bedok,East Region,1.31406,103.92479,Entire home/apt,3.0,3.0,0.0,0.0,99.0
23063409.0,99.0,t,Rochor,Central Region,1.29795,103.85247,Entire home/apt,1.0,1.0,2.0,2.0,195.0
23070535.0,91.0,t,Outram,Central Region,1.28449,103.84294,Private room,1.0,1.0,0.0,330.0,55.0
23072323.0,73.0,t,Geylang,Central Region,1.31226,103.88303,Private room,1.0,1.0,66.0,171.0,46.0
23080358.0,81.0,f,Outram,Central Region,1.28449,103.84294,Private room,1.0,1.0,0.0,330.0,55.0
23083547.0,41.0,f,Novena,Central Region,1.31512,103.84096,Entire home/apt,2.0,2.0,0.0,363.0,345.0
23084195.0,41.0,f,Novena,Central Region,1.31806,103.84587,Entire home/apt,3.0,3.0,2.0,364.0,431.0
