,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id,latitude,longitude
153,265.0,285.0,41.0,f,Entire home/apt,1.0,1.0,0.0,364.0,River Valley,Central Region,45778518.0,1.296,103.83673
154,180.0,121.0,88.0,t,Private room,1.0,2.0,0.0,18.0,Bedok,East Region,26093121.0,1.32358,103.91458
155,119.0,121.0,100.0,f,Private room,2.0,2.0,1.0,177.0,Bedok,East Region,21073678.0,1.30396,103.92743
156,108.0,109.0,100.0,f,Private room,1.0,1.0,6.0,364.0,Sembawang,North Region,8256942.0,1.44162,103.82343
157,798.0,403.0,0.0,f,Entire home/apt,3.0,4.0,0.0,312.0,River Valley,Central Region,46475535.0,1.29191,103.84025
158,255.0,367.0,41.0,f,Entire home/apt,3.0,3.0,0.0,364.0,Jurong East,West Region,51441847.0,1.33585,103.74603
159,182.0,245.0,31.0,f,Entire home/apt,2.0,2.0,0.0,364.0,Downtown Core,Central Region,45107551.0,1.2738,103.84713
160,160.0,178.0,100.0,t,Entire home/apt,1.0,1.0,41.0,0.0,Kallang,Central Region,21804950.0,1.29951,103.88525
161,109.0,99.0,0.0,f,Private room,1.0,1.0,0.0,364.0,Serangoon,North-East Region,16213361.0,1.35641,103.86726
162,259.0,102.0,0.0,f,Private room,1.0,1.0,0.0,10.0,Downtown Core,Central Region,53802906.0,1.30127886,103.856969
163,132.0,130.0,89.0,t,Entire home/apt,0.0,1.0,0.0,55.0,Downtown Core,Central Region,36427750.0,1.27553,103.84522
164,82.0,79.0,100.0,f,Shared room,1.0,1.0,0.0,343.0,Rochor,Central Region,28998042.0,1.30181,103.85954
165,198.0,213.0,7.0,f,Entire home/apt,3.0,4.0,1.0,178.0,Geylang,Central Region,41326499.0,1.31185,103.87651
166,155.0,210.0,99.0,t,Entire home/apt,1.0,1.0,0.0,77.0,Downtown Core,Central Region,50823263.0,1.29692,103.85279
167,89.0,98.0,92.0,t,Private room,1.0,1.0,5.0,25.0,Queenstown,Central Region,39077406.0,1.30447,103.78502
168,113.0,128.0,89.0,t,Entire home/apt,1.0,1.0,0.0,0.0,Jurong East,West Region,34188337.0,1.33527,103.7428
169,78.0,111.0,0.0,f,Private room,1.0,1.0,0.0,363.0,Bedok,East Region,5406502.0,1.31279,103.93821
170,74.0,66.0,65.0,f,Private room,1.0,1.0,22.0,0.0,Geylang,Central Region,7830012.0,1.30976,103.88201
171,160.0,247.0,31.0,f,Entire home/apt,1.0,1.0,0.0,357.0,Queenstown,Central Region,43706347.0,1.29687,103.80467
172,28.0,106.0,65.0,f,Private room,1.0,1.0,1.0,365.0,Sembawang,North Region,15775531.0,1.45152,103.81413
173,198.0,202.0,7.0,f,Entire home/apt,3.0,1.0,1.0,168.0,Geylang,Central Region,41328031.0,1.31166,103.87739
174,538.0,246.0,100.0,t,Entire home/apt,1.0,1.0,2.0,343.0,Orchard,Central Region,22912035.0,1.30243,103.84007
175,382.0,202.0,0.0,f,Entire home/apt,1.0,1.0,0.0,357.0,Rochor,Central Region,42123951.0,1.30026,103.84954
176,251.0,228.0,100.0,t,Entire home/apt,0.0,1.0,20.0,359.0,Novena,Central Region,47295315.0,1.31889,103.84879
177,290.0,78.0,0.0,f,Private room,0.0,2.0,0.0,0.0,Bukit Merah,Central Region,23965690.0,1.28706,103.80514
178,29.0,86.0,65.0,f,Hotel room,1.0,1.0,7.0,0.0,Outram,Central Region,24511491.0,1.28356,103.84459
179,80.0,98.0,0.0,f,Private room,1.0,1.0,0.0,365.0,Downtown Core,Central Region,21061607.0,1.28525,103.8529
180,65.0,81.0,84.0,f,Entire home/apt,0.0,1.0,53.0,81.0,Geylang,Central Region,20815980.0,1.31316,103.88606
181,195.0,150.0,65.0,f,Entire home/apt,1.0,2.0,29.0,180.0,Downtown Core,Central Region,19801615.0,1.27448,103.84531
182,128.0,85.0,0.0,f,Private room,1.0,1.0,0.0,177.0,Sembawang,North Region,4514543.0,1.45323,103.81729
183,50.0,85.0,41.0,f,Private room,1.0,1.0,1.0,324.0,Newton,Central Region,23211763.0,1.31237,103.83167
184,55.0,93.0,65.0,t,Private room,1.0,1.0,71.0,363.0,Punggol,North-East Region,11980197.0,1.40088,103.91
185,295.0,282.0,41.0,f,Entire home/apt,1.0,1.0,0.0,364.0,Singapore River,Central Region,52395633.0,1.28936,103.84442
186,113.0,114.0,100.0,t,Private room,1.0,1.0,167.0,365.0,Downtown Core,Central Region,42417293.0,1.29838,103.85742
187,99.0,75.0,65.0,t,Private room,1.0,1.0,52.0,180.0,Bedok,East Region,25435388.0,1.32167,103.90557
188,180.0,77.0,100.0,f,Private room,1.0,1.0,0.0,363.0,Kallang,Central Region,51091286.0,1.31877,103.85915
189,90.0,158.0,0.0,f,Entire home/apt,0.0,1.0,0.0,29.0,Bedok,East Region,39885622.0,1.32025,103.95725
190,27.0,38.0,50.0,f,Hotel room,1.0,10.0,11.0,116.0,Outram,Central Region,16524551.0,1.28489,103.84323
191,259.0,199.0,74.0,t,Entire home/apt,1.0,2.0,10.0,61.0,Geylang,Central Region,43694447.0,1.31258,103.87954
192,80.0,86.0,100.0,f,Private room,1.0,1.0,2.0,322.0,Marine Parade,Central Region,50490653.0,1.30051,103.90253
193,130.0,89.0,84.0,t,Private room,1.0,1.0,5.0,179.0,Bedok,East Region,16260783.0,1.3255,103.91599
194,360.0,232.0,30.0,f,Entire home/apt,1.0,1.0,0.0,364.0,Kallang,Central Region,42945709.0,1.29859,103.86059
195,742.0,163.0,47.0,f,Entire home/apt,1.0,1.0,0.0,179.0,Downtown Core,Central Region,53665903.0,1.281413404,103.8598007
196,108.0,93.0,0.0,f,Private room,1.0,1.0,1.0,358.0,Bishan,Central Region,6253881.0,1.35747,103.84781
197,70.0,118.0,65.0,f,Private room,0.0,1.0,1.0,364.0,Bukit Timah,Central Region,21939528.0,1.31606,103.78816
198,140.0,97.0,0.0,f,Private room,0.0,1.0,0.0,0.0,Central Water Catchment,North Region,29148255.0,1.35127,103.81926
199,118.0,269.0,65.0,f,Entire home/apt,2.0,2.0,4.0,363.0,Kallang,Central Region,22733377.0,1.29811,103.87299
200,180.0,191.0,41.0,f,Entire home/apt,1.0,1.0,0.0,363.0,Bukit Merah,Central Region,51511807.0,1.28903,103.83028
201,1300.0,211.0,0.0,f,Private room,0.0,1.0,0.0,365.0,Newton,Central Region,46178304.0,1.30642,103.84189
202,70.0,97.0,0.0,f,Private room,1.0,1.0,0.0,178.0,Tampines,East Region,39347379.0,1.34072,103.96118
203,149.0,179.0,24.0,f,Entire home/apt,1.0,1.0,2.0,351.0,Novena,Central Region,44569176.0,1.32215,103.85284
204,73.0,83.0,84.0,f,Entire home/apt,1.0,1.0,12.0,79.0,Geylang,Central Region,21805009.0,1.31515,103.88655
205,78.0,92.0,100.0,f,Private room,1.0,3.0,33.0,85.0,Serangoon,North-East Region,33536365.0,1.38328,103.86828
206,100.0,160.0,0.0,f,Entire home/apt,1.0,1.0,0.0,365.0,Novena,Central Region,6340605.0,1.32515,103.84914
207,473.0,202.0,100.0,t,Entire home/apt,0.0,0.0,9.0,365.0,Orchard,Central Region,18081902.0,1.30236,103.83986
208,240.0,217.0,96.0,f,Hotel room,1.0,1.0,54.0,359.0,Singapore River,Central Region,21605333.0,1.28616,103.84908
209,125.0,140.0,96.0,f,Private room,0.0,1.0,2.0,261.0,Downtown Core,Central Region,46382569.0,1.29749,103.85674
210,103.0,93.0,99.0,f,Private room,1.0,1.0,17.0,209.0,River Valley,Central Region,45854835.0,1.29654,103.83917
211,148.0,170.0,84.0,t,Private room,0.0,1.0,0.0,361.0,Singapore River,Central Region,51947045.0,1.28777,103.84809
212,90.0,79.0,0.0,f,Private room,1.0,1.0,16.0,54.0,Bukit Timah,Central Region,31520512.0,1.31261,103.80259
213,135.0,174.0,0.0,f,Entire home/apt,1.0,1.0,0.0,365.0,Downtown Core,Central Region,33087310.0,1.28197,103.85214
214,69.0,84.0,97.0,f,Private room,1.0,1.0,1.0,328.0,Outram,Central Region,14407337.0,1.28382,103.84339
215,37.0,90.0,97.0,f,Private room,1.0,1.0,5.0,361.0,Bukit Merah,Central Region,33999107.0,1.28559,103.8332
216,100.0,99.0,0.0,f,Private room,1.0,2.0,31.0,355.0,Museum,Central Region,22441995.0,1.29518,103.84368
217,29.0,62.0,0.0,f,Hotel room,1.0,8.0,47.0,144.0,Rochor,Central Region,34235543.0,1.30545,103.85328
218,65.0,102.0,0.0,f,Private room,1.0,1.0,4.0,174.0,Novena,Central Region,13241591.0,1.32765,103.8499
219,64.0,69.0,65.0,f,Private room,1.0,1.0,6.0,0.0,Geylang,Central Region,27271822.0,1.312,103.88265
220,41.0,92.0,96.0,f,Private room,1.0,1.0,2.0,361.0,Bukit Merah,Central Region,32818879.0,1.28426,103.83438
221,431.0,461.0,41.0,f,Entire home/apt,3.0,3.0,2.0,364.0,Novena,Central Region,23084195.0,1.31806,103.84587
222,130.0,88.0,88.0,t,Private room,1.0,1.0,6.0,220.0,Bedok,East Region,18169687.0,1.32551,103.91498
223,68.0,95.0,100.0,f,Private room,1.0,1.0,24.0,52.0,River Valley,Central Region,40267527.0,1.29746,103.84153
224,48.0,58.0,97.0,f,Private room,1.0,1.0,1.0,0.0,Kallang,Central Region,28522862.0,1.3091,103.86033
225,117.0,174.0,0.0,f,Entire home/apt,1.0,1.0,0.0,365.0,Downtown Core,Central Region,27889309.0,1.28209,103.85237
226,4000.0,1238.0,41.0,f,Entire home/apt,3.0,4.0,0.0,364.0,Southern Islands,Central Region,45524524.0,1.24826,103.82401
227,160.0,233.0,30.0,f,Entire home/apt,0.0,1.0,0.0,364.0,Rochor,Central Region,26052120.0,1.30714,103.85158
228,391.0,384.0,74.0,t,Entire home/apt,3.0,5.0,46.0,67.0,Geylang,Central Region,35786308.0,1.31084,103.87947
229,87.0,80.0,100.0,f,Shared room,1.0,1.0,0.0,301.0,Rochor,Central Region,31002918.0,1.30025,103.85951
